Basement,Sale_Price,Estimate_Building,Building Square Feet,Fireplaces,Building_Square_Feet,Attic_Type,Basement_Finish,Type_of_Residence,Bathrooms
full,315000,235460.0,1730.0,1+,Medium,None,Unfinished,one_story,2
full,315000,203080.0,1730.0,1+,Medium,None,Unfinished,one_story,2
not_full,392500,311620.0,2548.0,1+,Large,Partial,Unfinished,one_story,2
full,230500,205600.0,1142.0,1+,Small,None,Unfinished,one_story,2
full,230500,170550.0,1142.0,1+,Small,None,Unfinished,one_story,2
not_full,180000,138930.0,1300.0,0,Small-Medium,None,Formal rec room,one_story,1
full,115000,196430.0,1292.0,1+,Small-Medium,None,Unfinished,one_story,2
full,128000,153260.0,1480.0,1+,Medium,None,Unfinished,one_story,1
not_full,380000,286730.0,2391.0,0,Large,None,Unfinished,one_story,2
not_full,380000,286730.0,2391.0,0,Large,None,Unfinished,one_story,2
not_full,459000,206520.0,2433.0,0,Large,None,Unfinished,one_story,2
not_full,355000,233700.0,1994.0,1+,Medium-Large,None,Formal rec room,one_story,2
full,317500,246520.0,2075.0,1+,Medium-Large,None,Unfinished,one_story,1
full,320000,219630.0,1475.0,1+,Medium,None,Unfinished,one_story,2
full,317000,252830.0,1716.0,1+,Medium,None,Unfinished,one_story,1
not_full,374000,356470.0,2502.0,1+,Large,None,Unfinished,one_story,2
not_full,238000,228540.0,1326.0,0,Small-Medium,None,Formal rec room,over_one_story,1
not_full,337000,303740.0,2290.0,1+,Large,None,Unfinished,one_story,2
full,240000,176010.0,1120.0,0,Small,Partial,Unfinished,one_story,1
full,161000,153560.0,1480.0,0,Medium,None,Unfinished,one_story,1
full,220000,197020.0,1210.0,0,Small-Medium,None,Unfinished,one_story,1
full,162500,103710.0,1027.0,0,Small,None,Unfinished,one_story,1
not_full,235000,205200.0,1030.0,0,Small,None,Formal rec room,over_one_story,1
not_full,235000,183140.0,1030.0,0,Small,None,Formal rec room,over_one_story,1
not_full,395000,287540.0,2380.0,1+,Large,None,Unfinished,one_story,2
full,375000,198650.0,2260.0,1+,Medium-Large,None,Unfinished,one_story,1
full,350000,183290.0,1672.0,0,Medium,None,Unfinished,one_story,2
full,350000,219380.0,1672.0,0,Medium,None,Unfinished,one_story,2
full,350000,183290.0,1672.0,0,Medium,None,Unfinished,one_story,2
not_full,268500,198880.0,1075.0,1+,Small,None,Formal rec room,over_one_story,2
full,150000,198530.0,1320.0,1+,Small-Medium,None,Unfinished,one_story,1
full,296000,55110.0,1580.0,0,Medium,None,Unfinished,one_story,2
full,265000,189300.0,1284.0,0,Small-Medium,None,Unfinished,one_story,1
full,377000,266370.0,2383.0,1+,Large,None,Unfinished,one_story,2
not_full,340000,249830.0,1676.0,1+,Medium,None,Unfinished,one_story,2
not_full,366000,189200.0,3349.0,1+,Large,None,Formal rec room,one_story,2
full,175000,141730.0,1023.0,0,Small,None,Unfinished,one_story,1
full,270000,195070.0,1673.0,0,Medium,None,Unfinished,one_story,2
not_full,297000,190020.0,1143.0,0,Small,None,Unfinished,one_story,2
not_full,422600,306060.0,2163.0,1+,Medium-Large,None,Unfinished,one_story,2
full,172000,146050.0,1178.0,0,Small,None,Unfinished,one_story,1
full,316000,216990.0,1844.0,1+,Medium-Large,None,Unfinished,one_story,2
full,295000,147840.0,976.0,1+,Small,Partial,Unfinished,one_story,1
not_full,265000,201080.0,1186.0,1+,Small,None,Formal rec room,one_story,2
full,360000,295970.0,2212.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,308000,252970.0,1266.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,294000,236630.0,1138.0,0,Small,None,Formal rec room,over_one_story,2
full,310000,276500.0,2325.0,1+,Large,None,Unfinished,one_story,2
full,390000,289780.0,2313.0,1+,Large,None,Unfinished,one_story,2
full,205000,129940.0,1766.0,1+,Medium,None,Unfinished,one_story,2
full,345000,377890.0,2016.0,0,Medium-Large,None,Unfinished,over_one_story,1
full,265000,170060.0,1806.0,1+,Medium-Large,None,Unfinished,one_story,1
full,265000,208400.0,1806.0,1+,Medium-Large,None,Unfinished,one_story,1
not_full,400000,287100.0,2677.0,1+,Large,Full,Unfinished,one_story,2
not_full,230000,218070.0,1268.0,1+,Small-Medium,None,Formal rec room,over_one_story,2
full,294500,190330.0,1144.0,0,Small,None,Formal rec room,one_story,2
full,294500,190330.0,1144.0,0,Small,None,Formal rec room,one_story,2
not_full,322000,225550.0,1268.0,1+,Small-Medium,None,Formal rec room,over_one_story,1
not_full,210000,197110.0,1126.0,0,Small,None,Formal rec room,over_one_story,1
not_full,249900,197010.0,1715.0,0,Medium,None,Unfinished,one_story,1
full,425000,194120.0,1570.0,1+,Medium,None,Unfinished,one_story,2
full,425000,112850.0,1570.0,1+,Medium,None,Unfinished,one_story,2
not_full,423000,292650.0,2234.0,1+,Medium-Large,None,Unfinished,one_story,2
full,276000,215500.0,1619.0,1+,Medium,None,Unfinished,one_story,2
not_full,340000,177470.0,1286.0,0,Small-Medium,Partial,Formal rec room,over_one_story,1
not_full,340000,177470.0,1286.0,0,Small-Medium,Partial,Formal rec room,over_one_story,1
not_full,303000,261990.0,2012.0,0,Medium-Large,Partial,Formal rec room,one_story,2
full,460000,316240.0,2774.0,1+,Large,None,Unfinished,one_story,2
full,405000,323500.0,3631.0,0,Large,None,Unfinished,one_story,2
full,135000,99580.0,1080.0,0,Small,None,Unfinished,one_story,1
full,305000,207280.0,1672.0,1+,Medium,None,Unfinished,one_story,2
full,270000,215140.0,1582.0,1+,Medium,None,Unfinished,one_story,2
