property_city,Estimate (Land),Estimate (Building),Type of Residence,Rooms,Bedrooms,Central Heating,Central Air,Fireplaces,Building Square Feet,Sale Price,Full Baths,Garage 1 Size,Age,Garage indicator,Tax Year,Basement,Basement Finish,Near Major Road,Construction Quality,Renovation,Repair Condition,Neighborhood Code,Roof Material,Other Heating,Attic Type,Attic Finish,Cathedral Ceiling,Site Desireability,Porch,Other Improvements,Large Lot
SCHAUMBURG,6230,41320,NA,NA,NA,NA,NA,NA,NA,90000,1,NA,41,NA,2018,NA,NA,0,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,3,NA,1
EVANSTON,28120,69820,1,5,2,1,0,1,738,74000,1,0,95,0,2019,1,3,0,2,NA,2,60,1,5,3,0,0,2,1,0,NA
EVANSTON,28120,69820,1,5,2,1,0,1,738,74000,1,0,95,0,2019,1,3,0,2,NA,2,60,1,5,3,0,0,2,1,0,NA
SCHAUMBURG,43310,126220,2,9,5,1,1,0,1490,180100,2,0,44,0,2018,1,1,0,2,NA,2,109,1,5,3,NA,0,2,3,0,0
PALATINE,17460,125920,NA,NA,NA,NA,NA,NA,NA,203000,1,NA,25,NA,2018,NA,NA,1,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,3,NA,1
PALATINE,15520,99070,NA,NA,NA,NA,NA,NA,NA,203000,1,NA,25,NA,2018,NA,NA,1,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,3,NA,1
SCHAUMBURG,44760,278530,2,7,4,1,1,0,1849,365000,1,1,32,1,2018,2,3,0,1,NA,1,72,1,5,2,3,2,2,3,192,0
SKOKIE,6260,97810,NA,NA,NA,NA,NA,NA,NA,160000,1,NA,35,NA,2018,NA,NA,1,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,3,NA,0
SKOKIE,7270,104190,NA,NA,NA,NA,NA,NA,NA,160000,1,NA,35,NA,2018,NA,NA,1,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,3,NA,0
DES PLAINES,130010,317660,2,7,5,1,1,0,2715,492500,4,3,43,1,2018,1,3,0,2,NA,2,130,1,5,3,NA,2,2,3,0,0
SCHAUMBURG,14490,54950,NA,NA,NA,NA,NA,NA,NA,121500,NA,NA,46,NA,2019,NA,NA,0,NA,NA,NA,40,NA,NA,NA,0,NA,NA,3,NA,NA
ARLINGTON HEIGHTS,2970,74380,NA,NA,NA,NA,NA,NA,NA,123000,1,NA,34,NA,2018,NA,NA,0,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,3,NA,1
ARLINGTON HEIGHTS,2970,74380,NA,NA,NA,NA,NA,NA,NA,123000,1,NA,34,NA,2018,NA,NA,0,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,3,NA,1
NORTHBROOK,217120,333840,2,9,5,1,1,1,3002,520000,3,3,49,1,2018,3,3,1,2,NA,2,52,1,5,3,NA,0,2,3,0,0
EVANSTON,30510,68880,1,5,2,1,0,1,984,175000,1,0,57,0,2019,1,3,0,2,NA,2,60,1,5,3,0,0,2,3,0,NA
PALATINE,1870,28780,NA,NA,NA,NA,NA,NA,NA,76500,1,NA,42,NA,2018,NA,NA,1,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,3,NA,1
GLENVIEW,61690,192600,5,4,2,1,1,0,1120,275000,2,1,63,1,2018,3,1,0,2,NA,2,120,1,5,1,1,2,2,3,0,0
ARLINGTON HEIGHTS,27000,248550,4,5,3,1,0,0,1218,285000,1,1,55,1,2018,3,1,1,2,NA,2,30,1,5,3,NA,2,2,3,0,0
PALATINE,13510,72110,NA,NA,NA,NA,NA,NA,NA,93000,1,NA,26,NA,2018,NA,NA,1,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,3,NA,1
HOFFMAN ESTATES,28580,153290,1,5,2,1,1,2,1391,250000,2,3,33,1,2019,1,3,0,2,NA,2,109,1,5,3,0,0,2,3,80,NA
SCHAUMBURG,190000,198880,4,9,4,1,1,2,2829,498274,3,4,36,1,2019,3,1,0,2,NA,2,80,1,5,3,0,2,2,3,0,NA
HOFFMAN ESTATES,4380,60190,NA,NA,NA,NA,NA,NA,NA,75000,1,NA,39,NA,2018,NA,NA,1,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,3,NA,1
DES PLAINES,6690,150650,NA,NA,NA,NA,NA,NA,NA,285000,1,NA,12,NA,2018,NA,NA,1,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,3,NA,0
ARLINGTON HEIGHTS,51560,266320,4,6,3,1,1,1,1323,314500,2,3,44,1,2018,3,1,0,2,NA,2,40,1,5,3,NA,2,2,3,1063,0
DES PLAINES,50820,243590,5,8,5,1,1,1,2154,410000,2,3,87,1,2018,1,1,0,2,NA,2,30,1,5,1,1,2,2,1,0,0
HOFFMAN ESTATES,36180,160930,1,6,3,1,1,1,1261,235000,1,1,52,1,2019,2,3,0,2,NA,2,11,1,5,3,0,0,2,3,0,NA
PALATINE,106230,258620,2,6,2,1,1,1,2356,365400,2,3,8,1,2018,1,3,1,2,NA,2,50,1,5,3,NA,1,2,3,0,0
ARLINGTON HEIGHTS,23680,183000,5,5,2,1,1,2,1554,255000,1,1,53,1,2019,3,1,0,2,NA,2,50,1,5,2,3,0,2,3,0,NA
ARLINGTON HEIGHTS,20130,166910,5,5,2,1,1,2,1554,255000,1,1,53,1,2019,3,1,0,2,NA,2,50,1,5,2,3,0,2,3,0,NA
DES PLAINES,45000,146770,1,6,3,1,0,0,1258,155000,1,1,75,1,2018,4,3,1,2,NA,2,31,1,5,2,3,0,2,3,0,0
ARLINGTON HEIGHTS,152360,353220,1,7,4,1,1,1,1792,487000,2,3,48,1,2018,1,3,0,1,NA,2,52,1,5,3,NA,0,2,3,0,0
GLENVIEW,141230,341670,1,6,3,1,1,1,1616,350000,1,2,60,1,2018,2,3,1,2,NA,2,110,1,5,3,NA,0,2,3,0,0
ARLINGTON HEIGHTS,40730,196390,5,5,2,1,0,0,941,328000,1,3,61,1,2018,4,3,0,2,NA,2,72,1,5,2,3,2,2,3,0,0
HOFFMAN ESTATES,52910,251200,1,6,3,1,1,1,1591,308000,2,3,37,1,2018,4,3,0,2,NA,2,33,1,5,3,NA,0,2,3,0,0
HOFFMAN ESTATES,52910,251200,1,6,3,1,1,1,1591,308000,2,3,37,1,2018,4,3,0,2,NA,2,33,1,5,3,NA,0,2,3,0,0
HOFFMAN ESTATES,48310,220600,1,6,3,1,1,1,1591,308000,2,3,37,1,2018,4,3,0,2,NA,2,33,1,5,3,NA,0,2,3,0,0
